Date : 2021-06-04 20:39:45
Directory : /Users/amadeus/Library/Mobile Documents/com~apple~CloudDocs/Documents/homework/ds
Total : 75 files,  9166 codes, 1541 comments, 1397 blanks, all 12104 lines

Languages
+----------+------------+------------+------------+------------+------------+
| language | files      | code       | comment    | blank      | total      |
+----------+------------+------------+------------+------------+------------+
| Log      |          4 |      4,531 |          0 |        156 |      4,687 |
| C++      |         59 |      3,806 |      1,320 |      1,044 |      6,170 |
| Java     |          4 |        479 |        125 |         80 |        684 |
| Markdown |          6 |        221 |          1 |         63 |        285 |
| KPL      |          2 |        129 |         95 |         54 |        278 |
+----------+------------+------------+------------+------------+------------+

Directories
+-------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                                                | files      | code       | comment    | blank      | total      |
+-------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                                                   |         75 |      9,166 |      1,541 |      1,397 |     12,104 |
| hw1                                                                                                                                 |         34 |      2,316 |        354 |        568 |      3,238 |
| hw1/.VSCodeCounter                                                                                                                  |          4 |        109 |          0 |         26 |        135 |
| hw1/.VSCodeCounter/2021-04-06_08-46-15                                                                                              |          2 |         53 |          0 |         13 |         66 |
| hw1/.VSCodeCounter/2021-04-06_18-38-03                                                                                              |          2 |         56 |          0 |         13 |         69 |
| hw1/archive                                                                                                                         |         23 |      1,574 |        243 |        386 |      2,203 |
| hw1/archive/p1                                                                                                                      |          6 |        388 |         96 |         93 |        577 |
| hw1/archive/p3                                                                                                                      |          4 |        201 |         44 |         49 |        294 |
| hw1/archive/p4                                                                                                                      |         11 |        835 |        102 |        225 |      1,162 |
| hw1/archive/p4/p4_1                                                                                                                 |          8 |        309 |         44 |        109 |        462 |
| hw1/archive/p4/p4_1/lib                                                                                                             |          2 |         36 |          3 |         18 |         57 |
| hw1/archive/p4/p4_1/p4                                                                                                              |          5 |        140 |         13 |         48 |        201 |
| hw1/archive/useful                                                                                                                  |          2 |        150 |          1 |         19 |        170 |
| hw1/done                                                                                                                            |          7 |        633 |        111 |        156 |        900 |
| hw1/done/t2                                                                                                                         |          1 |         56 |          1 |         13 |         70 |
| hw1/done/t3                                                                                                                         |          1 |         56 |          0 |         24 |         80 |
| hw2                                                                                                                                 |         21 |      2,040 |        248 |        261 |      2,549 |
| hw2/archive                                                                                                                         |          5 |        203 |         17 |         42 |        262 |
| hw2/archive/p1                                                                                                                      |          3 |        160 |         15 |         30 |        205 |
| hw2/done                                                                                                                            |          1 |         49 |          0 |         12 |         61 |
| hw2/sorts                                                                                                                           |          4 |        101 |          3 |         14 |        118 |
| hw2/theory                                                                                                                          |          1 |      1,075 |          0 |         26 |      1,101 |
| hw2/theory/.texpadtmp                                                                                                               |          1 |      1,075 |          0 |         26 |      1,101 |
| hw3                                                                                                                                 |         13 |      3,312 |        908 |        449 |      4,669 |
| hw3/archive                                                                                                                         |          4 |        166 |        111 |         78 |        355 |
| hw3/done                                                                                                                            |          2 |        253 |         22 |         41 |        316 |
| hw3/theory                                                                                                                          |          2 |      2,150 |          0 |         52 |      2,202 |
| hw3/theory/.texpadtmp                                                                                                               |          1 |      1,075 |          0 |         26 |      1,101 |
| hw4                                                                                                                                 |          7 |      1,498 |         31 |        119 |      1,648 |
| hw4/theory                                                                                                                          |          1 |      1,306 |          0 |         78 |      1,384 |
| hw4/theory/.texpadtmp                                                                                                               |          1 |      1,306 |          0 |         78 |      1,384 |
+-------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+-------------------------------------------------------------------------------------------------------------------------------------+----------+------------+------------+------------+------------+
| filename                                                                                                                            | language | code       | comment    | blank      | total      |
+-------------------------------------------------------------------------------------------------------------------------------------+----------+------------+------------+------------+------------+
| /Users/amadeus/Library/Mobile Documents/com~apple~CloudDocs/Documents/homework/ds/hw1/.VSCodeCounter/2021-04-06_08-46-15/details.md | Markdown |         29 |          0 |          6 |         35 |
| /Users/amadeus/Library/Mobile Documents/com~apple~CloudDocs/Documents/homework/ds/hw1/.VSCodeCounter/2021-04-06_08-46-15/results.md | Markdown |         24 |          0 |          7 |         31 |
| /Users/amadeus/Library/Mobile Documents/com~apple~CloudDocs/Documents/homework/ds/hw1/.VSCodeCounter/2021-04-06_18-38-03/details.md | Markdown |         31 |          0 |          6 |         37 |
| /Users/amadeus/Library/Mobile Documents/com~apple~CloudDocs/Documents/homework/ds/hw1/.VSCodeCounter/2021-04-06_18-38-03/results.md | Markdown |         25 |          0 |          7 |         32 |
| /Users/amadeus/Library/Mobile Documents/com~apple~CloudDocs/Documents/homework/ds/hw1/archive/p1/p1.cc                              | C++      |        123 |         23 |         25 |        171 |
| /Users/amadeus/Library/Mobile Documents/com~apple~CloudDocs/Documents/homework/ds/hw1/archive/p1/p1_best.cc                         | C++      |         60 |          0 |         12 |         72 |
| /Users/amadeus/Library/Mobile Documents/com~apple~CloudDocs/Documents/homework/ds/hw1/archive/p1/p1_gfg.cc                          | C++      |         41 |         19 |         15 |         75 |
| /Users/amadeus/Library/Mobile Documents/com~apple~CloudDocs/Documents/homework/ds/hw1/archive/p1/p1_gfg_upload.cc                   | C++      |         43 |         19 |         14 |         76 |
| /Users/amadeus/Library/Mobile Documents/com~apple~CloudDocs/Documents/homework/ds/hw1/archive/p1/p1_re.cc                           | C++      |         55 |         15 |         12 |         82 |
| /Users/amadeus/Library/Mobile Documents/com~apple~CloudDocs/Documents/homework/ds/hw1/archive/p1/p1_std.cc                          | C++      |         66 |         20 |         15 |        101 |
