"filename", "language", "Markdown", "C++", "Java", "KPL", "Log", "comment", "blank", "total"
"/Users/amadeus/Library/Mobile Documents/com~apple~CloudDocs/Documents/homework/ds/hw1/.VSCodeCounter/2021-04-06_08-46-15/details.md", "Markdown", 29, 0, 0, 0, 0, 0, 6, 35
"/Users/amadeus/Library/Mobile Documents/com~apple~CloudDocs/Documents/homework/ds/hw1/.VSCodeCounter/2021-04-06_08-46-15/results.md", "Markdown", 24, 0, 0, 0, 0, 0, 7, 31
"/Users/amadeus/Library/Mobile Documents/com~apple~CloudDocs/Documents/homework/ds/hw1/.VSCodeCounter/2021-04-06_18-38-03/details.md", "Markdown", 31, 0, 0, 0, 0, 0, 6, 37
"/Users/amadeus/Library/Mobile Documents/com~apple~CloudDocs/Documents/homework/ds/hw1/.VSCodeCounter/2021-04-06_18-38-03/results.md", "Markdown", 25, 0, 0, 0, 0, 0, 7, 32
"/Users/amadeus/Library/Mobile Documents/com~apple~CloudDocs/Documents/homework/ds/hw1/archive/p1/p1.cc", "C++", 0, 123, 0, 0, 0, 23, 25, 171
"/Users/amadeus/Library/Mobile Documents/com~apple~CloudDocs/Documents/homework/ds/hw1/archive/p1/p1_best.cc", "C++", 0, 60, 0, 0, 0, 0, 12, 72
"/Users/amadeus/Library/Mobile Documents/com~apple~CloudDocs/Documents/homework/ds/hw1/archive/p1/p1_gfg.cc", "C++", 0, 41, 0, 0, 0, 19, 15, 75
"/Users/amadeus/Library/Mobile Documents/com~apple~CloudDocs/Documents/homework/ds/hw1/archive/p1/p1_gfg_upload.cc", "C++", 0, 43, 0, 0, 0, 19, 14, 76
"/Users/amadeus/Library/Mobile Documents/com~apple~CloudDocs/Documents/homework/ds/hw1/archive/p1/p1_re.cc", "C++", 0, 55, 0, 0, 0, 15, 12, 82
"/Users/amadeus/Library/Mobile Documents/com~apple~CloudDocs/Documents/homework/ds/hw1/archive/p1/p1_std.cc", "C++", 0, 66, 0, 0, 0, 20, 15, 101
"/Users/amadeus/Library/Mobile Documents/com~apple~CloudDocs/Documents/homework/ds/hw1/archive/p3/p3.cc", "C++", 0, 54, 0, 0, 0, 32, 17, 103
"/Users/amadeus/Library/Mobile Documents/com~apple~CloudDocs/Documents/homework/ds/hw1/archive/p3/p3.java", "Java", 0, 0, 35, 0, 0, 2, 6, 43
"/Users/amadeus/Library/Mobile Documents/com~apple~CloudDocs/Documents/homework/ds/hw1/archive/p3/p3_new.cc", "C++", 0, 57, 0, 0, 0, 1, 12, 70
"/Users/amadeus/Library/Mobile Documents/com~apple~CloudDocs/Documents/homework/ds/hw1/archive/p3/p3_nonstd.cc", "C++", 0, 55, 0, 0, 0, 9, 14, 78
"/Users/amadeus/Library/Mobile Documents/com~apple~CloudDocs/Documents/homework/ds/hw1/archive/p4/p4.cc", "C++", 0, 135, 0, 0, 0, 12, 36, 183
"/Users/amadeus/Library/Mobile Documents/com~apple~CloudDocs/Documents/homework/ds/hw1/archive/p4/p4.java", "Java", 0, 0, 314, 0, 0, 0, 58, 372
"/Users/amadeus/Library/Mobile Documents/com~apple~CloudDocs/Documents/homework/ds/hw1/archive/p4/p4_1/lib/linked_list.cc", "C++", 0, 13, 0, 0, 0, 0, 7, 20
"/Users/amadeus/Library/Mobile Documents/com~apple~CloudDocs/Documents/homework/ds/hw1/archive/p4/p4_1/lib/linked_list.hh", "C++", 0, 23, 0, 0, 0, 3, 11, 37
"/Users/amadeus/Library/Mobile Documents/com~apple~CloudDocs/Documents/homework/ds/hw1/archive/p4/p4_1/p4.cc", "C++", 0, 133, 0, 0, 0, 28, 43, 204
"/Users/amadeus/Library/Mobile Documents/com~apple~CloudDocs/Documents/homework/ds/hw1/archive/p4/p4_1/p4/linked_list.cc", "C++", 0, 47, 0, 0, 0, 7, 15, 69
"/Users/amadeus/Library/Mobile Documents/com~apple~CloudDocs/Documents/homework/ds/hw1/archive/p4/p4_1/p4/linked_list.hh", "C++", 0, 42, 0, 0, 0, 0, 18, 60
"/Users/amadeus/Library/Mobile Documents/com~apple~CloudDocs/Documents/homework/ds/hw1/archive/p4/p4_1/p4/main.cc", "C++", 0, 10, 0, 0, 0, 1, 2, 13
"/Users/amadeus/Library/Mobile Documents/com~apple~CloudDocs/Documents/homework/ds/hw1/archive/p4/p4_1/p4/notepad.cc", "C++", 0, 27, 0, 0, 0, 5, 9, 41
"/Users/amadeus/Library/Mobile Documents/com~apple~CloudDocs/Documents/homework/ds/hw1/archive/p4/p4_1/p4/notepad.hh", "C++", 0, 14, 0, 0, 0, 0, 4, 18
"/Users/amadeus/Library/Mobile Documents/com~apple~CloudDocs/Documents/homework/ds/hw1/archive/p4/p4_std.cc", "C++", 0, 77, 0, 0, 0, 46, 22, 145
"/Users/amadeus/Library/Mobile Documents/com~apple~CloudDocs/Documents/homework/ds/hw1/archive/useful/Reader.java", "Java", 0, 0, 130, 0, 0, 1, 16, 147
"/Users/amadeus/Library/Mobile Documents/com~apple~CloudDocs/Documents/homework/ds/hw1/archive/useful/power.cc", "C++", 0, 20, 0, 0, 0, 0, 3, 23
"/Users/amadeus/Library/Mobile Documents/com~apple~CloudDocs/Documents/homework/ds/hw1/done/p1_ta.cc", "C++", 0, 60, 0, 0, 0, 7, 14, 81
"/Users/amadeus/Library/Mobile Documents/com~apple~CloudDocs/Documents/homework/ds/hw1/done/p2.cc", "C++", 0, 177, 0, 0, 0, 19, 36, 232
"/Users/amadeus/Library/Mobile Documents/com~apple~CloudDocs/Documents/homework/ds/hw1/done/p3_old.cc", "C++", 0, 54, 0, 0, 0, 32, 17, 103
"/Users/amadeus/Library/Mobile Documents/com~apple~CloudDocs/Documents/homework/ds/hw1/done/p3_q.cc", "C++", 0, 69, 0, 0, 0, 28, 16, 113
"/Users/amadeus/Library/Mobile Documents/com~apple~CloudDocs/Documents/homework/ds/hw1/done/p4_re.cc", "C++", 0, 161, 0, 0, 0, 24, 36, 221
"/Users/amadeus/Library/Mobile Documents/com~apple~CloudDocs/Documents/homework/ds/hw1/done/t2/t2.md", "Markdown", 56, 0, 0, 0, 0, 1, 13, 70
"/Users/amadeus/Library/Mobile Documents/com~apple~CloudDocs/Documents/homework/ds/hw1/done/t3/t3.md", "Markdown", 56, 0, 0, 0, 0, 0, 24, 80
"/Users/amadeus/Library/Mobile Documents/com~apple~CloudDocs/Documents/homework/ds/hw2/archive/median.cc", "C++", 0, 31, 0, 0, 0, 0, 6, 37
"/Users/amadeus/Library/Mobile Documents/com~apple~CloudDocs/Documents/homework/ds/hw2/archive/p1/p1.cc", "C++", 0, 73, 0, 0, 0, 1, 11, 85
"/Users/amadeus/Library/Mobile Documents/com~apple~CloudDocs/Documents/homework/ds/hw2/archive/p1/p1_merge.cc", "C++", 0, 54, 0, 0, 0, 8, 10, 72
"/Users/amadeus/Library/Mobile Documents/com~apple~CloudDocs/Documents/homework/ds/hw2/archive/p1/p1_simple.cc", "C++", 0, 33, 0, 0, 0, 6, 9, 48
"/Users/amadeus/Library/Mobile Documents/com~apple~CloudDocs/Documents/homework/ds/hw2/archive/test.cc", "C++", 0, 12, 0, 0, 0, 2, 6, 20
"/Users/amadeus/Library/Mobile Documents/com~apple~CloudDocs/Documents/homework/ds/hw2/done/p1.cc", "C++", 0, 49, 0, 0, 0, 0, 12, 61
"/Users/amadeus/Library/Mobile Documents/com~apple~CloudDocs/Documents/homework/ds/hw2/p2.cc", "C++", 0, 39, 0, 0, 0, 13, 15, 67
