"filename", "language", "C++", "Java", "Markdown", "comment", "blank", "total"
"/Users/amadeus/Library/Mobile Documents/com~apple~CloudDocs/Documents/homework/ds/hw1/Reader.java", "Java", 0, 130, 0, 1, 16, 147
"/Users/amadeus/Library/Mobile Documents/com~apple~CloudDocs/Documents/homework/ds/hw1/archive/p4/lib/linked_list.cc", "C++", 13, 0, 0, 0, 7, 20
"/Users/amadeus/Library/Mobile Documents/com~apple~CloudDocs/Documents/homework/ds/hw1/archive/p4/lib/linked_list.hh", "C++", 23, 0, 0, 3, 11, 37
"/Users/amadeus/Library/Mobile Documents/com~apple~CloudDocs/Documents/homework/ds/hw1/archive/p4/p4.cc", "C++", 133, 0, 0, 28, 43, 204
"/Users/amadeus/Library/Mobile Documents/com~apple~CloudDocs/Documents/homework/ds/hw1/archive/p4/p4/linked_list.cc", "C++", 47, 0, 0, 7, 15, 69
"/Users/amadeus/Library/Mobile Documents/com~apple~CloudDocs/Documents/homework/ds/hw1/archive/p4/p4/linked_list.hh", "C++", 42, 0, 0, 0, 18, 60
"/Users/amadeus/Library/Mobile Documents/com~apple~CloudDocs/Documents/homework/ds/hw1/archive/p4/p4/main.cc", "C++", 10, 0, 0, 1, 2, 13
"/Users/amadeus/Library/Mobile Documents/com~apple~CloudDocs/Documents/homework/ds/hw1/archive/p4/p4/notepad.cc", "C++", 27, 0, 0, 5, 9, 41
"/Users/amadeus/Library/Mobile Documents/com~apple~CloudDocs/Documents/homework/ds/hw1/archive/p4/p4/notepad.hh", "C++", 14, 0, 0, 0, 4, 18
"/Users/amadeus/Library/Mobile Documents/com~apple~CloudDocs/Documents/homework/ds/hw1/archive/useful/power.cc", "C++", 20, 0, 0, 0, 3, 23
"/Users/amadeus/Library/Mobile Documents/com~apple~CloudDocs/Documents/homework/ds/hw1/done/p2.cc", "C++", 177, 0, 0, 19, 36, 232
"/Users/amadeus/Library/Mobile Documents/com~apple~CloudDocs/Documents/homework/ds/hw1/done/t2/t2.md", "Markdown", 0, 0, 56, 1, 13, 70
"/Users/amadeus/Library/Mobile Documents/com~apple~CloudDocs/Documents/homework/ds/hw1/done/t3/t3.md", "Markdown", 0, 0, 56, 0, 24, 80
"/Users/amadeus/Library/Mobile Documents/com~apple~CloudDocs/Documents/homework/ds/hw1/p1.cc", "C++", 123, 0, 0, 23, 25, 171
"/Users/amadeus/Library/Mobile Documents/com~apple~CloudDocs/Documents/homework/ds/hw1/p1_std.cc", "C++", 66, 0, 0, 20, 15, 101
"/Users/amadeus/Library/Mobile Documents/com~apple~CloudDocs/Documents/homework/ds/hw1/p3.cc", "C++", 71, 0, 0, 15, 17, 103
"/Users/amadeus/Library/Mobile Documents/com~apple~CloudDocs/Documents/homework/ds/hw1/p3.java", "Java", 0, 35, 0, 2, 6, 43
"/Users/amadeus/Library/Mobile Documents/com~apple~CloudDocs/Documents/homework/ds/hw1/p3_nonstd.cc", "C++", 55, 0, 0, 9, 14, 78
"/Users/amadeus/Library/Mobile Documents/com~apple~CloudDocs/Documents/homework/ds/hw1/p4.cc", "C++", 135, 0, 0, 12, 36, 183
"/Users/amadeus/Library/Mobile Documents/com~apple~CloudDocs/Documents/homework/ds/hw1/p4.java", "Java", 0, 314, 0, 0, 58, 372
"Total", "-", 956, 479, 112, 146, 372, 2065
