"filename", "language", "Python", "HTML", "comment", "blank", "total"
"/Users/amadeus/Library/Mobile Documents/com~apple~CloudDocs/Documents/homework/network/hw1/q3/py/args.py", "Python", 5, 0, 0, 1, 6
"/Users/amadeus/Library/Mobile Documents/com~apple~CloudDocs/Documents/homework/network/hw1/q3/py/connection.py", "Python", 49, 0, 9, 16, 74
"/Users/amadeus/Library/Mobile Documents/com~apple~CloudDocs/Documents/homework/network/hw1/q3/py/console.py", "Python", 10, 0, 1, 3, 14
"/Users/amadeus/Library/Mobile Documents/com~apple~CloudDocs/Documents/homework/network/hw1/q3/py/data1/x.html", "HTML", 0, 3, 0, 2, 5
"/Users/amadeus/Library/Mobile Documents/com~apple~CloudDocs/Documents/homework/network/hw1/q3/py/file.py", "Python", 16, 0, 0, 5, 21
"/Users/amadeus/Library/Mobile Documents/com~apple~CloudDocs/Documents/homework/network/hw1/q3/py/handler.py", "Python", 49, 0, 3, 13, 65
"/Users/amadeus/Library/Mobile Documents/com~apple~CloudDocs/Documents/homework/network/hw1/q3/py/http_pkg/http_message.py", "Python", 70, 0, 8, 23, 101
"/Users/amadeus/Library/Mobile Documents/com~apple~CloudDocs/Documents/homework/network/hw1/q3/py/http_pkg/http_util.py", "Python", 40, 0, 5, 12, 57
"/Users/amadeus/Library/Mobile Documents/com~apple~CloudDocs/Documents/homework/network/hw1/q3/py/index.html", "HTML", 0, 3, 0, 1, 4
"/Users/amadeus/Library/Mobile Documents/com~apple~CloudDocs/Documents/homework/network/hw1/q3/py/main.py", "Python", 31, 0, 4, 8, 43
"/Users/amadeus/Library/Mobile Documents/com~apple~CloudDocs/Documents/homework/network/hw1/q3/py/port_manager.py", "Python", 17, 0, 1, 3, 21
"/Users/amadeus/Library/Mobile Documents/com~apple~CloudDocs/Documents/homework/network/hw1/q3/py/server.py", "Python", 19, 0, 3, 6, 28
"Total", "-", 306, 6, 34, 93, 439
